,cycle,max_distemp,max_chtemp,capacity,dis_time,chr_time,Discharge_voltage,Discharge_current,Discharge_min_Threshold_voltage_time,Charging_max_Threshold_voltage_time,Discharge_min_Threshold_voltage_temp,Charging_max_Threshold_voltage_temp,SOH,RUL
0,1,13.880080551261507,9.32513759558831,1.7282392323598248,6436.141,10803.313,2.5,1,6436.141,1427.625,13.105428453533493,4.862408892933145,1.0,72
1,2,12.941526372487642,12.346119770451757,1.5161488467923143,5650.265,10802.077999999994,2.5,1,5650.265,1351.484,12.938220819248125,4.6264190342525415,0.8772794983493625,71
2,3,13.359691095670462,11.59806658239694,1.503121190703977,5590.907,10807.688,2.5,1,5590.907,1304.875,12.400467035426775,4.739180125104326,0.869741389131376,70
3,4,12.683911154117249,12.092568670781334,1.48586566102824,5543.61,10805.687,2.5,1,5543.61,1220.953,12.683911154117249,4.633242403881651,0.8597569324932892,69
4,5,13.065399804685724,12.490739095130257,1.4694562316392716,5499.046,10804.078,2.5,1,5499.046,1202.719,13.065399804685724,4.27488842644703,0.8502620494460146,68
5,6,12.802479603911387,9.465933254374386,1.4589554592644807,5461.219,10804.969,2.5,1,5461.219,1137.188,12.802479603911387,4.540019711469419,0.8441860547699461,67
6,7,13.585554405586658,9.459976311030434,1.4556853555098295,5451.281,10808.375,2.5,1,5451.281,1177.89,12.731505877941103,4.795883602718526,0.8422938955749566,66
7,8,13.94301293338268,13.403263929675719,1.456232262380321,5468.062,10804.25,2.5,1,5468.062,1178.937,13.94301293338268,5.029224038238504,0.8426103487952349,65
8,9,13.134169173843693,12.57281963998543,1.4440592236675138,5411.297,10802.406000000003,2.5,1,5411.297,1087.078,13.134169173843693,4.8942211923027665,0.8355667413565903,64
9,10,14.086951683642923,13.556085797321904,1.428294264765868,5369.703,10803.203,2.5,1,5369.703,1121.125,14.086951683642923,4.877256128513894,0.8264447641404387,63
10,11,13.314723048488913,12.745904862879247,1.4199848948034668,5327.406,10806.079,2.5,1,5327.406,1051.907,13.314723048488913,4.787077469313465,0.821636766609301,62
11,12,14.173291675329546,9.083417538983161,1.4043226018516568,5299.266,10803.641,2.5,1,5299.266,916.844,14.173291675329546,4.721959247937742,0.812574194334267,61
12,13,13.959348125513564,9.361701357449405,1.4234351301615986,5367.172,10805.125,2.5,1,5367.172,1063.968,13.959348125513564,4.723699406034685,0.8236331542005146,60
13,14,13.523198161538613,12.962013891216712,1.4339948857967295,5406.812,10806.202999999994,2.5,1,5406.812,1065.968,13.523198161538613,4.940121897922653,0.8297432779828061,59
14,15,13.750234723504356,13.216505813006908,1.4185177047756572,5353.094,10807.016,2.5,1,5353.094,1022.328,13.750234723504356,4.846729179186759,0.820787815838865,58
15,16,13.400973711086477,12.84746399497611,1.4056313337829422,5280.031,10803.453,2.5,1,5280.031,1003.484,13.400973711086477,4.8568286132085,0.8133314575110198,57
16,17,13.648707282364962,13.087946324694633,1.3890214025155618,5248.593,10807.812,2.5,1,5248.593,953.375,13.648707282364962,4.659597145798736,0.8037205593457811,56
17,18,13.959820884900516,9.109898329219815,1.3723339082737365,5203.375,10805.016,2.5,1,5203.375,847.703,13.959820884900516,4.71370800612672,0.7940647814133248,55
18,19,14.349640095291218,13.809800479071026,1.3615778905990565,5166.812,10805.781000000003,2.5,1,5166.812,912.609,14.349640095291218,4.708465892200651,0.7878410957838803,54
20,21,13.720010432160603,13.222932293469412,1.4100282016237429,5340.281,10808.813,2.5,1,5340.281,308.188,13.720010432160603,4.3958949491916535,0.8158755889937873,52
21,22,14.214578668306734,13.66317791203664,1.3395671374926488,5103.0,10804.828,2.5,1,5103.0,891.844,14.214578668306734,4.407081506590932,0.7751051546628394,51
22,23,13.7206185074268,9.191051374384664,1.3291515487117478,5051.172,10808.359,2.5,1,5051.172,854.5,13.7206185074268,4.775087512303822,0.7690784492242184,50
23,24,14.307049577086083,13.65870050381003,1.3181687033905718,5027.563,10808.75,2.5,1,5027.563,697.718,14.307049577086083,4.854293315526231,0.7627235157662043,49
24,25,13.73206507015365,13.167646858022986,1.312423708466101,4993.765,10808.5,2.5,1,4993.765,787.015,13.73206507015365,4.706981496896351,0.7593993261419322,48
25,26,14.550153842364988,14.044734566367385,1.2993237532162487,4962.469,10808.781,2.5,1,4962.469,855.875,14.550153842364988,4.941246686859043,0.751819382923096,47
26,27,14.437029519118854,13.917603978270249,1.2877483042174591,4907.859,10804.703,2.5,1,4907.859,805.125,14.437029519118854,4.400762955624632,0.7451215549939245,46
27,28,14.364000921258654,9.1561080808182,1.2865282739749122,4888.656,10804.766,2.5,1,4888.656,769.422,13.429042601914052,4.524468756834161,0.744415616707313,45
28,29,14.693349843683665,14.124511703888349,1.2719636386987183,4866.25,10802.641000000003,2.5,1,4866.25,497.594,14.693349843683665,4.53567425974588,0.7359881750641172,44
29,30,14.058016587648103,12.592602688923204,1.2714495345417192,4836.125,10802.015,2.5,1,4836.125,762.047,13.07041456647732,4.8238617516479865,0.7356907022678904,43
30,31,13.779152574880365,13.271242109383456,1.2615423884659074,4801.485,10808.25,2.5,1,4801.485,765.187,13.779152574880365,4.699923127457966,0.7299581937758316,42
31,32,14.383739114376208,13.879267261448385,1.2421201619204132,4760.938,10803.187,2.5,1,4760.938,759.484,14.383739114376208,4.8349891260511075,0.7187200352027421,41
32,33,14.589504036127655,8.961573455880472,1.2402537441669796,4740.907,10804.329,2.5,1,4740.907,718.172,14.121932981601754,4.738780913692564,0.7176400818499385,40
33,34,13.891154624298235,9.235381386461205,1.2851130012242886,4914.532,10802.156,2.5,1,4914.532,432.969,13.83901332800595,4.759238452312778,0.7435967064985156,39
34,35,14.673096336965486,12.768858904952618,1.3043327841699193,4998.656,10804.672000000006,2.5,1,4998.656,754.25,13.977090834776183,4.831356115966431,0.7547177264277919,38
35,36,13.896967367053858,13.370990004319781,1.2778639041619957,4890.015,10806.687,2.5,1,4890.015,873.828,13.896967367053858,5.010900446118207,0.7394022078859627,37
36,37,13.908543615362126,13.139485790529518,1.2723464591651539,4842.11,10804.187,2.5,1,4842.11,812.203,13.640900324144019,4.482413772801953,0.7362096840191668,36
37,38,14.617560660341365,14.207971178409403,1.2477883952768762,4798.281,10804.703,2.5,1,4798.281,781.89,14.617560660341365,4.552230522608487,0.7219998087724714,35
38,39,14.288124170416687,8.935870973704901,1.2352499196655526,4739.188,10805.594,2.5,1,4739.188,698.313,14.288124170416687,4.707581561629352,0.7147447509213642,34
39,40,14.875868929885128,14.402615524029677,1.229251291851949,4733.156,10803.797000000006,2.5,1,4733.156,481.844,14.875868929885128,4.789709310653992,0.7112738033226265,33
40,41,13.880179808466218,12.908314636128306,1.223890910501634,4670.61,10806.938,2.5,1,4670.61,695.859,13.30736730325027,4.660484183309265,0.7081721601878415,32
41,42,14.631961684725407,14.096794455486355,1.205423323571373,4635.0,10805.984,2.5,1,4635.0,681.172,14.631961684725407,4.707908098180845,0.6974863786221467,31
42,43,14.768164211079867,14.27836592296483,1.1957824090008151,4615.86,10804.937,2.5,1,4615.86,638.875,14.768164211079867,4.560785272520637,0.6919079179611226,30
43,44,15.037938036453403,8.827049914593319,1.1900729496698461,4580.75,10804.922,2.5,1,4580.75,642.75,15.037938036453403,4.757790710484005,0.6886042900697611,29
44,45,14.290141125898849,13.744651377939665,1.179201763233652,4557.406,10808.079,2.5,1,4557.406,381.828,14.290141125898849,4.709571814582134,0.682313965077341,28
45,46,13.996450231420782,13.521354405833215,1.169504032514554,4524.0320000000065,10808.421,2.5,1,4524.0320000000065,635.688,13.996450231420782,4.5953203939557925,0.6767026292521171,27
46,47,14.935082428364883,13.118371272464127,1.16772376849918,4502.938,10809.953,2.5,1,4502.938,652.359,14.56807575000286,4.514401685113143,0.6756725264850695,26
47,48,14.99164974108056,14.502549026623463,1.1579256145829042,4483.094,10803.234,2.5,1,4483.094,592.922,14.99164974108056,4.681428566670647,0.6700030834283367,25
48,49,14.811846373564524,8.533783890055396,1.1499812813376982,4448.36,10806.329,2.5,1,4448.36,550.281,14.811846373564524,4.631175502740125,0.6654063047553063,24
49,50,14.247555903096723,13.067735171405046,1.150285902223034,4440.531,10804.89,2.5,1,4440.531,306.172,13.294005964773273,4.520339635339075,0.665582565587506,23
50,51,14.332240013732582,13.847530682607912,1.1349452274085248,4416.547,10807.342999999993,2.5,1,4416.547,544.875,14.332240013732582,4.732767500531252,0.6567060891557319,22
51,52,14.276871638701772,12.922766299354484,1.1380960963513609,4382.937,10809.625,2.5,1,4382.937,562.2339999999967,13.431280785656808,4.5142221752252665,0.6585292562750975,21
52,53,13.777310967702926,13.42198851253176,1.123711172150547,4347.453,10804.875,2.5,1,4347.453,524.625,13.777310967702926,4.66148785674023,0.6502057997006441,20
54,55,14.96165525093106,8.86703786132924,1.214119211354098,4746.5,10810.016,2.5,1,4746.5,518.625,14.96165525093106,4.427746715379604,0.7025180244845376,18
55,56,14.622124863653873,12.873064470501333,1.211944797522819,4679.156,10803.282000000007,2.5,1,4679.156,169.64,13.842244872819583,4.558615899497711,0.7012598573335063,17
56,57,14.181162993443126,12.914378640441889,1.1971248679331923,4596.578,10808.906,2.5,1,4596.578,564.672,13.152204252689176,4.465210290564171,0.6926846963765414,16
57,58,13.989284902759552,13.560435846040848,1.1822892151870987,4544.641,10809.375,2.5,1,4544.641,659.875,13.989284902759552,4.626007196785033,0.6841004376302356,15
58,59,15.042601535042603,14.50936386335481,1.1645336676778397,4526.938,10803.938,2.5,1,4526.938,612.625,15.042601535042603,4.773791774695575,0.6738266588750719,14
59,60,15.027421071078606,9.058792390700829,1.1535559567518647,4487.438,10802.313,2.5,1,4487.438,638.656,15.027421071078606,5.169240219958803,0.6674746962992741,13
60,61,14.577396723095212,8.906166673111327,1.1601987101282065,4513.312,10807.516,2.5,1,4513.312,599.782,14.319655006393601,5.1343137902161065,0.6713183501476314,12
61,62,15.36587842843583,13.696298017692879,1.1711716308206082,4568.438,10804.64,2.5,1,4568.438,327.547,15.113043487877277,5.388204899123851,0.6776675409812515,11
62,63,15.29268403662172,13.627671981515773,1.1563410270783216,4499.656,10807.093999999997,2.5,1,4499.656,378.656,15.24793876319272,5.208113446773054,0.6690862037076866,10
63,64,14.698902260428524,14.175755722127473,1.141082456193516,4430.984,10803.235,2.5,1,4430.984,614.218,14.698902260428524,5.293850024230726,0.660257234546993,9
64,65,15.066788669768552,14.561398475035936,1.1352383596118123,4411.141,10805.453,2.5,1,4411.141,576.188,15.066788669768552,5.2590442072092936,0.6568757023654074,8
66,67,14.884443210062466,9.03319178162539,1.2530847858282803,4883.312,10806.641,2.5,1,4883.312,536.844,14.359372503117891,5.169473416409175,0.7250644253210565,6
67,68,14.454392118638458,13.574846790146097,1.2050453590356518,4663.907,10807.969,2.5,1,4663.907,548.765,13.853422126038096,5.203391213702639,0.6972676794231909,5
68,69,14.172939173239188,13.649783872807921,1.19119860196273,4581.328,10809.593999999997,2.5,1,4581.328,95.172,14.172939173239188,5.110312534175213,0.6892556190477215,4
69,70,14.797843662102167,13.486366811933427,1.17463817374538,4553.031,10804.109,2.5,1,4553.031,478.156,14.314750757374375,5.201256549424905,0.6796733645153222,3
70,71,14.86814851282613,14.316772010775503,1.1555432048235512,4486.5,10810.344,2.5,1,4486.5,677.735,14.86814851282613,5.131966540794318,0.6686245649253746,2
71,72,14.051631055988958,8.961521656486461,1.1538041170229467,4450.625,10808.891,2.5,1,4450.625,639.282,14.051631055988958,5.174810028842563,0.6676182876878015,1
